iter	Passed	Remaining
579	22075	54047
580	22114	54010
581	22152	53973
582	22189	53933
583	22226	53892
584	22263	53851
585	22300	53811
586	22338	53772
587	22377	53737
588	22414	53695
589	22450	53653
590	22487	53611
591	22524	53571
592	22561	53531
593	22601	53497
594	22637	53454
595	22674	53414
596	22712	53375
597	22749	53335
598	22786	53296
599	22824	53258
600	22862	53218
601	22900	53180
602	22937	53139
603	22974	53099
604	23012	53060
605	23051	53025
606	23088	52985
607	23125	52945
608	23163	52906
609	23200	52866
610	23237	52826
611	23275	52788
612	23314	52752
613	23352	52714
614	23389	52673
615	23429	52639
616	23469	52607
617	23507	52567
618	23543	52525
619	23581	52487
620	23619	52449
621	23656	52410
622	23693	52370
623	23732	52333
624	23769	52293
625	23806	52252
626	23843	52213
627	23882	52177
628	23919	52137
629	23958	52099
630	23995	52060
631	24032	52019
632	24069	51978
633	24108	51942
634	24146	51905
635	24192	51884
636	24228	51842
637	24266	51803
638	24303	51763
639	24341	51726
640	24384	51698
641	24425	51667
642	24470	51643
643	24515	51620
644	24553	51581
645	24590	51540
646	24627	51501
647	24666	51464
648	24703	51425
649	24742	51387
650	24780	51350
651	24817	51309
652	24855	51270
653	24893	51234
654	24931	51195
655	24969	51156
656	25008	51121
657	25046	51082
658	25082	51041
659	25121	51003
660	25158	50963
661	25196	50925
662	25233	50886
663	25271	50846
664	25308	50806
665	25346	50769
666	25386	50734
667	25423	50695
668	25461	50657
669	25499	50617
670	25536	50577
671	25574	50540
672	25613	50504
673	25650	50464
674	25687	50424
675	25725	50384
676	25762	50344
677	25809	50323
678	25848	50287
679	25884	50246
680	25921	50207
681	25958	50166
682	25999	50133
683	26036	50092
684	26073	50053
685	26110	50012
686	26147	49972
687	26184	49932
688	26223	49897
689	26260	49857
690	26298	49818
691	26336	49780
692	26373	49739
693	26409	49699
694	26448	49663
695	26486	49623
696	26523	49583
697	26561	49546
698	26598	49506
699	26635	49466
700	26673	49428
701	26709	49386
702	26746	49346
703	26784	49308
704	26823	49271
705	26860	49231
706	26898	49192
707	26935	49152
708	26971	49111
709	27008	49071
710	27047	49034
711	27084	48994
712	27122	48957
713	27160	48919
714	27198	48881
715	27235	48842
716	27273	48802
717	27311	48764
718	27351	48730
719	27388	48691
720	27425	48651
721	27462	48611
722	27500	48572
723	27538	48534
724	27575	48495
725	27613	48456
726	27650	48417
727	27687	48377
728	27725	48338
729	27765	48305
730	27802	48264
731	27840	48226
732	27877	48185
733	27913	48145
734	27950	48105
735	27989	48069
736	28026	48028
737	28062	47988
738	28100	47949
739	28137	47909
740	28173	47869
741	28211	47830
742	28248	47789
743	28285	47750
744	28323	47711
745	28362	47675
746	28399	47636
747	28437	47598
748	28473	47557
749	28510	47518
750	28548	47480
751	28585	47439
752	28622	47400
753	28660	47362
754	28697	47323
755	28735	47284
756	28773	47245
757	28812	47209
758	28849	47170
759	28887	47132
760	28923	47091
761	28961	47053
762	28998	47014
763	29037	46977
764	29074	46937
765	29112	46899
766	29149	46859
767	29186	46820
768	29225	46783
769	29261	46743
770	29299	46704
771	29337	46666
772	29374	46627
773	29411	46587
774	29453	46556
775	29495	46523
776	29534	46487
777	29575	46453
778	29612	46414
779	29649	46374
780	29685	46334
781	29723	46295
782	29760	46256
783	29799	46219
784	29836	46179
785	29875	46143
786	29912	46103
787	29948	46062
788	29985	46023
789	30025	45988
790	30062	45948
791	30099	45909
792	30137	45871
793	30174	45831
794	30211	45791
795	30249	45753
796	30286	45715
797	30324	45677
798	30362	45639
799	30399	45599
800	30436	45560
801	30475	45523
802	30512	45484
803	30550	45446
804	30589	45409
805	30626	45370
806	30663	45330
807	30701	45292
808	30738	45252
809	30775	45214
810	30812	45174
811	30850	45135
812	30887	45095
813	30925	45058
814	30962	45018
815	30999	44979
816	31039	44944
817	31076	44905
818	31113	44866
819	31153	44830
820	31190	44790
821	31226	44750
822	31263	44711
823	31300	44672
824	31338	44633
825	31378	44598
826	31415	44558
827	31452	44520
828	31490	44481
829	31527	44441
830	31564	44402
831	31604	44367
832	31642	44329
833	31678	44289
834	31715	44249
835	31752	44209
836	31789	44171
837	31830	44136
838	31867	44097
839	31904	44058
840	31940	44018
841	31978	43979
842	32014	43939
843	32053	43902
844	32090	43863
845	32128	43825
846	32165	43786
847	32202	43747
848	32239	43707
849	32277	43669
850	32313	43628
851	32350	43589
852	32388	43552
853	32425	43512
854	32462	43472
855	32500	43435
856	32537	43395
857	32574	43356
858	32611	43317
859	32650	43280
860	32687	43242
861	32725	43203
862	32762	43163
863	32799	43124
864	32837	43087
865	32875	43048
866	32913	43011
867	32950	42972
868	32987	42933
869	33024	42894
870	33064	42858
871	33102	42820
872	33142	42784
873	33179	42746
874	33217	42707
875	33254	42668
876	33290	42628
877	33327	42588
878	33365	42551
879	33403	42514
880	33440	42474
881	33477	42435
882	33514	42396
883	33551	42356
884	33588	42318
885	33626	42280
886	33663	42240
887	33700	42201
888	33737	42162
889	33774	42123
890	33813	42086
891	33850	42048
892	33888	42009
893	33925	41970
894	33962	41931
895	33998	41890
896	34036	41853
897	34074	41815
898	34111	41776
899	34148	41737
900	34186	41698
901	34222	41659
902	34261	41622
903	34298	41583
904	34335	41544
905	34372	41504
906	34411	41468
907	34448	41428
908	34485	41390
909	34524	41353
910	34568	41323
911	34606	41285
912	34651	41255
913	34690	41218
914	34726	41178
915	34763	41139
916	34799	41099
917	34837	41061
918	34874	41022
919	34911	40983
920	34948	40943
921	34985	40904
